column,global_min,global_max,constant_candidate
Id,1.0,100.0,False
Time,0.0,149.05,False
D feed,12.3062324640963,100.0,False
E Feed,8.90594569306517,100.0,False
A Feed,0.0,89.6652640929222,False
A and C Feed,55.7371778212015,97.0374386581446,False
Recycle,0.0,71.166,False
Purge,0.146933771567698,100.0,False
Separator,29.0307876747725,62.045708124707,False
Stripper,41.8340375032455,74.6432212715253,False
Steam,0.0,1.0,False
Reactor Coolant,24.87685387123,61.1318140819933,False
Condenser Coolant,5.60527886672384,100.0,False
Agitator,100.0,100.0,True
msv A Feed,-0.0040526576578617,0.912020443764439,False
msv D Feed,662.300005441103,5886.09016534107,False
msv E Feed,678.939984219222,8448.67566287329,False
msv A and C Feed,8.33656744122066,14.8966449385436,False
Recycle Flow,18.3462747705545,35.2787508779169,False
Reactor Feed Rate,32.9092577695203,54.5311151933523,False
Reactor Pressure,2651.98756745714,2861.39483037812,False
Reactor Level,60.2470239291352,112.342772723529,False
Reactor Temperature,122.698987886491,128.246022513368,False
Purge Rate,-0.0028018794328628,0.919294373849602,False
Product Sep Temp,73.7234179590551,96.4178614919597,False
Product Sep Level,37.2052862445156,139.180088271257,False
Product Sep Pressure,2558.63147479399,2797.63850870596,False
Product Sep Underflow,17.5561500247032,41.268813962441,False
Stripper Level,6.62188752718192,133.108160606811,False
Stripper Pressure,2922.66397868561,3405.68198144452,False
Stripper Underflow,19.2065411090235,36.3931289077752,False
Stripper Temp,49.6863189263505,69.6683372499117,False
Stripper Steam Flow,-4.81174936071038,11.3134088690711,False
Compressor Work,239.557580127562,338.004771845529,False
Reactor Coolant Temp,96.5600491934926,108.619069158679,False
Separator Coolant Temp,44.7446416000405,97.8375319081992,False
Component A to Reactor,23.9147295299338,39.4201597723509,False
Component B to Reactor,4.98859582701345,27.1383946798564,False
Component C to Reactor,10.7321052238731,28.919074042067,False
Component D to Reactor,0.848212615186299,13.7523702897777,False
Component E to Reactor,2.73860127992235,29.4440939182138,False
Component F to Reactor,0.896379330866845,5.69150389420625,False
Component A to Purge,20.7854476491173,42.6620794960276,False
Component B to Purge,8.84274955024014,44.6999268722352,False
Component C to Purge,2.34877075373113,27.4121544876861,False
Component D to Purge,-0.290307177332004,2.91602051382299,False
Component E to Purge,2.46848563942453,27.2073098862875,False
Component F to Purge,1.30250849256323,7.54863215470599,False
Component G to Purge,1.07349707075802,11.5966642397707,False
Component H to Purge,0.262424955718254,6.2240809232377,False
Component D to Product,-0.0369138095843153,0.0677937977785288,False
Component E to Product,0.105868632911378,1.92804500880706,False
Component F to Product,0.0206707656148016,0.468004148503747,False
Component G to Product,9.67905441544916,91.9788017610488,False
Component H to Product,6.18530316508674,87.589395824496,False
Liquid Input Stripper,50.0,150.864208890632,False
Liquid Input Separator,49.9740237932505,147.656884241018,False
Liquid Input Reactor,65.0,107.668820075016,False
